id,created_at,favorites,retweets,retweeted,source,text
839100602038763521,3/7,27927,6163,FALSE,Twitter for iPhone,"A new chapter of AMERICAN GREATNESS is now beginning. Together, we will MAKE AMERICA GREAT AGAIN!… https://t.co/NSbJ6N93GM"
839132604444131330,3/7,47020,9781,FALSE,Twitter for iPhone,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!"
839210736450748417,3/7,34432,10230,FALSE,Twitter Web Client,#ConfirmGorsuch #SCOTUS https://t.co/cst1KtlUcY
839268685940461569,3/8,30176,5527,FALSE,Twitter for iPhone,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!
839434246368477184,3/8,41020,7132,FALSE,Twitter for iPhone,I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.
839434396717432832,3/8,30841,6075,FALSE,Twitter for iPhone,"On International Women's Day, join me in honoring the critical role of women here in America &amp; around the world. https://t.co/eAbd9OiUl5"
839502021262725120,3/8,29119,7110,FALSE,Twitter for iPhone,U.S. private sector job creation surging with nearly 300K created last month. Much more than expected! https://t.co/XYf0Sc4eqG
839582076550672393,3/8,18893,3720,FALSE,Twitter for iPhone,"#RepealAndReplace #Obamacare
https://t.co/co5mMBv7Aa"
839625471071502336,3/8,18055,2518,FALSE,Twitter for iPhone,Met with @RepCummings today at the @WhiteHouse. Great discussion!
839625545948233730,3/8,30651,7506,FALSE,Twitter for iPhone,"Great news. We are only just beginning. Together, we are going to #MAGA! https://t.co/4QayxcKjoR https://t.co/fOuQkzzgRH"
839883896959483904,3/9,33467,5620,FALSE,Twitter for iPhone,"Despite what you hear in the press, healthcare is coming along great. We are talking to many groups and it will end in a beautiful picture!"
839901515712245760,3/9,18286,3538,FALSE,Twitter for iPhone,Great listening session with CEOs of community banks today at the @WhiteHouse! https://t.co/kQ8p2Y6nBV https://t.co/TyNGFWSpiM
839902400139919360,3/9,10827,1711,FALSE,Twitter for iPhone,Join @PressSec at https://t.co/9OsPtLVgfw for today's briefing!
839926426753183744,3/9,19917,3950,FALSE,Twitter for iPhone,Great legislative affairs meeting this afternoon at the @WhiteHouse. https://t.co/Pu3cx6Jj2E
839978944543752193,3/9,21195,3771,FALSE,Twitter for iPhone,Honored to meet this years @SenateYouth delegates w/ @VP Pence in the East Room of the @WhiteHouse. Congratulations… https://t.co/NuZIDEJlLm
840226451551051776,3/10,13755,2718,FALSE,Twitter for iPhone,"Weekly Address - 11:00 A.M. at the @WhiteHouse! #MAGA🇺🇸
➡️https://t.co/EMAjO07GuJ https://t.co/RjOook4k0I"
840268068853014528,3/10,10240,1643,FALSE,Twitter for iPhone,Join @PressSec live- coming up soon! https://t.co/EOpAFnlG7W
840269011770318848,3/10,15516,3116,FALSE,Twitter for iPhone,Great meeting w/ the healthcare specific House Committee Leadership this afternoon at the @WhiteHouse. #ReadTheBill… https://t.co/yDofamvQ8r
840270290483593217,3/10,30881,5769,FALSE,Twitter for iPhone,We are taking steps to stabilize health insurance markets and start bringing down costs for MILLIONS of people affected by #Obamacare.
840286677637746689,3/10,14055,3619,FALSE,Twitter for iPhone,"Three-Pronged Approach to REPEAL AND REPLACE #Obamacare! 
➡️https://t.co/XCYPOc0bzi https://t.co/vSLVJ6KXao"
840558072334548992,3/11,14458,3389,FALSE,Twitter for iPhone,#ReadTheBill: https://t.co/jb8Yoyftyz https://t.co/d9kVtHW1bk
840568025250189312,3/11,12630,2407,FALSE,Twitter for iPhone,"#ICYMI- Weekly Address:
https://t.co/EMAjO07GuJ https://t.co/ZqPAERhu8C"
840575046003367936,3/11,31826,5086,FALSE,Twitter for iPhone,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming together to get job done!
840602660478820352,3/11,0,1803,FALSE,Twitter for iPhone,"RT @VP: LISTEN LIVE as I deliver remarks at @HarshawTrane in Louisville, KY. https://t.co/EEgtfnO4KB"
840674990781542400,3/11,0,4377,FALSE,Twitter for iPhone,RT @WhiteHouse: .@POTUS Trump's First 50 Days of Action: Achieving Results for the American People https://t.co/Xw15oqp712 https://t.co/HMD…
840675833937330177,3/11,31456,7777,FALSE,Twitter for iPhone,#MakeAmericaGreatAgain🇺🇸 https://t.co/hDtpbl4oA9
841280320322306049,3/13,37927,6820,FALSE,Twitter for iPhone,"It is amazing how rude much of the media is to my very hard working representatives. Be nice, you will do much better!"
841280466720309248,3/13,28500,5119,FALSE,Twitter for iPhone,"ObamaCare is imploding. It is a disaster and 2017 will be the worst year yet, by far! Republicans will come together and save the day."
841300388762509312,3/13,10980,2147,FALSE,Twitter Web Client,#RepealAndReplace #Obamacare https://t.co/RO5aXJLadw https://t.co/SLuVWiU1cN
841338416889491458,3/13,12460,2292,FALSE,Twitter for iPhone,Healthcare listening session w/ @VP &amp; @SecPriceMD. Watch: https://t.co/RO5aXJLadw #ReadTheBill:… https://t.co/MTwusn80GT
841342785684922369,3/13,23605,5652,FALSE,Twitter for iPhone,Everyone along the east coast be safe and listen to local officials as a major winter storm approaches. @NWS… https://t.co/2OUG6NMuSe
841364009110687746,3/13,0,2421,FALSE,Twitter for iPhone,"RT @SecPriceMD: States need flexibility to develop #healthcare models that meet the needs of their communities, that ↑ access ↑ affordabili…"
841391200322105344,3/13,23572,4860,FALSE,Twitter for iPhone,Proud to welcome our great Cabinet members to the @WhiteHouse this afternoon with @VP Pence. https://t.co/nwnSqk8wST
841403658491301893,3/13,23143,6731,FALSE,Twitter for iPhone,"If Obamacare is so great, why'd they spend tens of millions of taxpayer dollars to 'hype' it? BAD! #RepealAndReplace https://t.co/5mur5pIFQz"
